29/04/2021
1,games,2018,4,0,m,kappa,0
2,digit,2015,9,0,m,9.9 media,0
3,how it works,0,0,0,0,0,149
4,digit,2015,12,0,m,9.9 media,0
5,digit,2014,2,0,m,9.9 media,0
6,digit,2014,3,0,m,9.9 media,0
7,digit,2014,4,0,m,9.9 media,0
8,digit,2014,5,0,m,9.9 media,0
9,pc magazine,2019,10,0,m,ziff davis,0
10,wired,2021,2,0,m,conde nast,0
11,digit,2016,3,0,m,9.9 media,0
12,new scientist,2020,12,5,w,0,3311
13,physics spectrum,2017,1,0,m,arihant,0
14,pfy,2015,1,0,m,arihant,0
15,ct,2015,1,0,m,mtg,0
16,mt,2015,1,0,m,mtg,0
17,ct,2016,1,0,m,mtg,0
18,mt,2016,1,0,m,mtg,0
19,ms,2017,1,0,m,arihant,0
20,mt,2017,1,0,m,mtg,0
21,cs,2017,1,0,m,arihant,0
22,pfy,2015,10,0,m,mtg,0
23,pfy,2016,10,0,m,mtg,0
24,ct,2015,10,0,m,mtg,0
25,mt,2015,10,0,m,mtg,0
26,ms,2016,10,0,m,arihant,0
27,ct,2016,10,0,m,mtg,0
28,mt,2016,10,0,m,mtg,0
29,mt,2017,10,0,m,mtg,0
30,pfy,2017,10,0,m,mtg,0
31,ps,2016,11,0,m,arihant,0
32,pfy,2015,11,0,m,mtg,0
33,pfy,2016,11,0,m,mtg,0
34,ct,2015,11,0,m,mtg,0
35,mt,2015,11,0,m,mtg,0
36,ms,2016,11,0,m,arihant,0
37,ct,2016,11,0,m,mtg,0
38,mt,2016,11,0,m,mtg,0
39,mt,2017,11,0,m,mtg,0
40,pfy,2017,11,0,m,mtg,0
41,ct,2016,12,0,m,mtg,0
42,mt,2016,12,0,m,mtg,0
43,cs,2016,12,0,m,arihant,0
44,pfy,2017,12,0,m,mtg,0
45,ps,2016,12,0,m,arihant,0
46,pfy,2015,12,0,m,mtg,0
47,pfy,2016,12,0,m,mtg,0
48,ct,2015,12,0,m,mtg,0
49,mt,2015,12,0,m,mtg,0
50,ms,2016,12,0,m,arihant,0
51,ps,2017,2,0,m,arihant,0
52,pfy,2015,2,0,m,mtg,0
53,pfy,2016,2,0,m,mtg,0
54,ct,2015,2,0,m,mtg,0
55,mt,2015,2,0,m,mtg,0
56,ms,2016,2,0,m,arihant,0
57,ct,2016,2,0,m,mtg,0
58,mt,2016,2,0,m,mtg,0
59,ms,2017,2,0,m,arihant,0
60,cs,2017,2,0,m,arihant,0
61,pfy,2017,2,0,m,mtg,0
62,ps,2017,3,0,m,arihant,0
63,pfy,2015,3,0,m,mtg,0
64,pfy,2016,3,0,m,mtg,0
65,ct,2015,3,0,m,mtg,0
66,mt,2015,3,0,m,mtg,0
67,ms,2016,3,0,m,arihant,0
68,ct,2016,3,0,m,mtg,0
69,mt,2016,3,0,m,mtg,0
70,ms,2017,3,0,m,arihant,0
71,mt,2017,3,0,m,mtg,0
72,cs,2017,3,0,m,arihant,0
73,pfy,2017,3,0,m,mtg,0
74,pfy,2015,4,0,m,mtg,0
75,pfy,2016,4,0,m,mtg,0
76,ct,2015,4,0,m,mtg,0
77,ct,2016,4,0,m,mtg,0
78,mt,2016,4,0,m,mtg,0
79,ms,2017,4,0,m,arihant,0
80,mt,2017,4,0,m,mtg,0
81,cs,2017,4,0,m,arihant,0
82,pfy,2017,4,0,m,mtg,0
83,pfy,2015,5,0,m,mtg,0
84,pfy,2016,5,0,m,mtg,0
85,ct,2015,5,0,m,mtg,0
86,mt,2015,5,0,m,mtg,0
87,ms,2016,5,0,m,arihant,0
88,ct,2016,5,0,m,mtg,0
89,mt,2016,5,0,m,mtg,0
90,mt,2017,5,0,m,mtg,0
91,ct,2018,5,0,m,mtg,0
92,pfy,2017,5,0,m,mtg,0
93,pfy,2015,6,0,m,mtg,0
94,pfy,2016,6,0,m,mtg,0
95,ct,2015,6,0,m,mtg,0
96,mt,2015,6,0,m,mtg,0
97,ms,2016,6,0,m,arihant,0
98,ct,2016,6,0,m,mtg,0
99,mt,2016,6,0,m,mtg,0
100,mt,2017,6,0,m,mtg,0
101,ct,2018,6,0,m,mtg,0
102,pfy,2017,6,0,m,mtg,0
103,pfy,2015,6,0,m,mtg,0
104,pfy,2016,6,0,m,mtg,0
105,ct,2015,7,0,m,mtg,0
106,mt,2015,7,0,m,mtg,0
107,ct,2016,7,0,m,mtg,0
108,mt,2016,7,0,m,mtg,0
109,ct,2017,7,0,m,mtg,0
110,mt,2017,7,0,m,mtg,0
111,pfy,2017,7,0,m,mtg,0
112,ps,2016,8,0,m,arihant,0
113,pfy,2015,8,0,m,mtg,0
114,pfy,2016,8,0,m,mtg,0
115,ct,2015,8,0,m,mtg,0
116,mt,2015,8,0,m,mtg,0
117,ms,2016,8,0,m,arihant,0
118,ct,2016,8,0,m,mtg,0
119,mt,2016,8,0,m,mtg,0
120,cs,2016,8,0,m,arihant,0
121,ct,2017,8,0,m,mtg,0
122,mt,2017,8,0,m,mtg,0
123,pfy,2017,8,0,m,mtg,0
124,pfy,2015,9,0,m,mtg,0
125,pfy,2016,9,0,m,mtg,0
126,ct,2015,9,0,m,mtg,0
127,mt,2015,9,0,m,mtg,0
128,ct,2016,9,0,m,mtg,0
129,mt,2016,9,0,m,mtg,0
130,ct,2017,9,0,m,mtg,0
131,mt,2017,9,0,m,mtg,0
132,pfy,2017,9,0,m,mtg,0
133,mt,2015,4,0,m,mtg,0
